time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electric_unitized
2018-01-07T09:00:00Z,1817568.6426324393,56385.74465044253,1587658.7743394976,56479.65138575401,-229909.8682929417,93.90673531148059,6.336641838270274e-4
2018-01-07T10:00:00Z,1807547.4738437128,52106.33338575608,1576047.0960202147,52019.52511232641,-231500.3778234981,-86.8082734296695,6.380478535278207e-4
2018-01-07T11:00:00Z,1840020.7131614056,49152.85564674319,1601652.6847316718,49273.45555642272,-238368.02842973382,120.59990967952763,6.569760720010907e-4
2018-01-07T12:00:00Z,1864965.7761826671,49044.530160734255,1620658.8194788587,48926.0745780815,-244306.9567038084,-118.45558265275758,6.733446000922977e-4
2018-01-07T13:00:00Z,1860605.7515637672,43242.94247626668,1614899.0253682865,43103.33939259103,-245706.72619548067,-139.6030836756545,6.772025632109418e-4
2018-01-07T14:00:00Z,1867757.4938152158,39093.37391016833,1612395.9408104427,38938.021114192416,-255361.5530047731,-155.3527959759158,7.038126343467592e-4
2018-01-07T15:00:00Z,1899613.6033245763,24614.06445980744,1637033.9527373665,25043.15169210075,-262579.65058720973,429.0872322933101,7.23706734357859e-4
2018-01-07T16:00:00Z,1889153.4296844583,18875.845336097256,1626525.0848809765,18641.15244012983,-262628.3448034818,-234.692895967426,7.238409425196932e-4
2018-01-07T17:00:00Z,1934515.750518325,18728.84802129472,1672918.3102106955,18927.974665541817,-261597.44030762953,199.1266442470951,7.209996236114699e-4
2018-01-07T18:00:00Z,1956560.3539007423,15858.851151704395,1692486.0684056967,15494.241614837549,-264074.2854950456,-364.6095368668466,7.27826160009421e-4
2018-01-07T19:00:00Z,2037442.7086416082,16812.189370894066,1770534.823441984,17011.38995745243,-266907.88519962435,199.20058655836328,7.356359624221064e-4
2018-01-07T20:00:00Z,2116209.7664433615,19507.016905088425,1848207.1444332867,19414.367189068522,-268002.6220100748,-92.64971601990328,7.386532122367843e-4
2018-01-07T21:00:00Z,2184491.6727427593,23724.02085906393,1924082.8254551901,23786.5760543974,-260408.8472875692,62.55519533346887,7.177236927801784e-4
2018-01-07T22:00:00Z,2232559.67635037,36555.74772973163,1969833.690812702,36595.89840475063,-262725.985537668,40.15067501900194,7.241100542224475e-4
2018-01-07T23:00:00Z,2176318.361156094,44456.483688811495,1903547.9950789344,44288.04310374098,-272770.36607715953,-168.44058507051523,7.517937906530007e-4
2018-01-08T00:00:00Z,2009465.23222445,50027.51924674277,1737648.8186433276,50077.947903028136,-271816.4135811224,50.42865628536674,7.491645623632393e-4
2018-01-08T01:00:00Z,1823695.7879290045,53133.39208928081,1567078.0250649923,52744.30764738396,-256617.76286401227,-389.08444189684815,7.072749267706582e-4
2018-01-08T02:00:00Z,1677369.1634195354,49990.917802664655,1445122.729650312,50480.26801864212,-232246.43376922328,489.35021597746527,0.00064010408945821965
2018-01-08T03:00:00Z,1584803.4766939864,50589.628697008804,1373755.4266108784,49954.31635858657,-211048.050083108,-635.3123384222345,5.816783394169075e-4
2018-01-08T04:00:00Z,1441355.1092791536,45696.792018035725,1246770.4980281119,46242.929929067664,-194584.61125104176,546.1379110319394,5.363027685118125e-4
2018-01-08T05:00:00Z,1335046.5522919674,42554.68744297591,1156920.3338402165,42391.05310813786,-178126.21845175093,-163.6343348380542,4.909411051882576e-4
2018-01-08T06:00:00Z,1304222.8610882936,42445.54859154303,1133920.5164535658,42294.41050730945,-170302.3446347278,-151.1380842335857,4.6937740001352934e-4
2018-01-08T07:00:00Z,1391012.3540967512,46660.703987736815,1216303.81364324,47076.11189244539,-174708.5404535113,415.4079047085761,4.815215002125429e-4
2018-01-08T08:00:00Z,1547133.832825005,54564.76735082379,1360187.1490832435,54314.76839642371,-186946.6837417616,-249.9989544000855,5.152515577167575e-4
2018-01-08T09:00:00Z,1638684.762359581,56801.744093641275,1437274.3825743299,56838.345537719346,-201410.3797852511,36.60144407807093,5.551155540583246e-4
2018-01-08T10:00:00Z,1682479.785413656,54600.62937178921,1473742.8183413178,54954.96092738971,-208736.9670723381,354.33155560049636,5.753086670724822e-4
2018-01-08T11:00:00Z,1694650.5641643647,50835.5608242891,1478535.5402706377,50146.86213713074,-216115.023893727,-688.6986871583649,5.956436374183303e-4
2018-01-08T12:00:00Z,1666516.4084295537,52363.800513594295,1455811.9931783974,52872.819384369264,-210704.41525115632,509.0188707749694,5.807312331141638e-4
2018-01-08T13:00:00Z,1580331.1778458538,46919.20630793288,1382119.4782364275,46773.61389704446,-198211.69960942632,-145.592410888421,5.462995381213526e-4
2018-01-08T14:00:00Z,1484455.545921803,37633.97451265445,1296011.1996525396,37535.927007911916,-188444.34626926342,-98.04750474253524,5.193793279172457e-4
2018-01-08T15:00:00Z,1394006.9222468412,27291.73737778741,1218681.7565882716,27521.032485032203,-175325.16565856966,229.29510724479405,4.832210066764961e-4
2018-01-08T16:00:00Z,1323044.815639208,18979.956110363844,1155349.2515358422,18881.908605621302,-167695.56410336588,-98.04750474254251,4.6219274339097426e-4
2018-01-08T17:00:00Z,1296929.5776175172,15677.692489095643,1135519.0996365612,15866.24538283129,-161410.47798095597,188.55289373564665,4.4487015520626466e-4
2018-01-08T18:00:00Z,1261485.4865037762,14593.328494337511,1105791.4067515316,14265.6901131051,-155694.07975224452,-327.6383812324111,4.291149514608937e-4
2018-01-08T19:00:00Z,1280116.1964125326,19142.48131053283,1127397.509885835,19260.93689318558,-152718.6865266976,118.45558265275031,4.2091434600698445e-4
2018-01-08T20:00:00Z,1339508.506772912,25093.95005994249,1182637.439875991,25391.34603586592,-156871.06689692102,297.39597592343125,4.323588948546416e-4
2018-01-08T21:00:00Z,1405848.9519622836,37461.54104277542,1248292.1292112935,36901.28015029112,-157556.82275099005,-560.2608924843007,4.34248935185662e-4
