time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electric_unitized
2018-01-05T18:00:00Z,288539.4707994396,5797057.756652366,1111959.4249135703,3158766.5136541985,823419.9541141307,-2638291.242998168,3.431835387507531e-4
2018-01-05T19:00:00Z,302479.8932442025,6154729.212510539,1148309.026608715,3491597.5676377756,845829.1333645126,-2663131.6448727637,3.525231975691014e-4
2018-01-05T20:00:00Z,332612.0256561181,6450983.297321046,1194969.187072209,3815539.2769606076,862357.161416091,-2635444.020360438,3.594117204024043e-4
2018-01-05T21:00:00Z,404534.89690403413,6877203.860148787,1288294.0494286986,4247846.696909683,883759.1525246645,-2629357.1632391037,3.68331605095816e-4
2018-01-05T22:00:00Z,465760.17866978893,7139288.611383443,1359126.7252956615,4537426.748705059,893366.5466258726,-2601861.8626783835,3.723357581277557e-4
2018-01-05T23:00:00Z,488110.5716383478,7179984.093351891,1385064.0906620454,4587343.872081085,896953.5190236976,-2592640.221270806,3.738307302555701e-4
2018-01-06T00:00:00Z,489535.8235955342,7091487.569071328,1378883.4574180725,4502017.254684628,889347.6338225383,-2589470.3143867003,3.706607626277222e-4
2018-01-06T01:00:00Z,480547.32541412924,7011487.460009433,1357849.8267020462,4396046.979174249,877302.5012879169,-2615440.4808351845,3.6564061320421156e-4
2018-01-06T02:00:00Z,482733.0145104502,6851853.995749535,1347755.7427397263,4236266.813368801,865022.7282292761,-2615587.182380734,3.605226707105124e-4
2018-01-06T03:00:00Z,482914.92399197444,6601167.229970023,1330172.589234977,3997413.1096039633,847257.6652430026,-2603754.1203660597,3.531185786050224e-4
2018-01-06T04:00:00Z,451296.7349279381,6409850.742350712,1292068.9865473788,3795484.421471332,840772.2516194407,-2614366.32087938,3.504155991757823e-4
2018-01-06T05:00:00Z,428462.67971793405,6408362.283624871,1273453.919340224,3821544.7975395573,844991.23962229,-2586817.4860853134,3.5217398167007406e-4
2018-01-06T06:00:00Z,466501.1885827387,6548496.864633912,1326106.7483268399,3945582.211327677,859605.5597441013,-2602914.653306235,3.5826491263522814e-4
2018-01-06T07:00:00Z,532124.5925148397,6921213.510450595,1417214.3838821666,4290015.923084012,885089.7913673269,-2631197.587366583,3.688861864422389e-4
2018-01-06T08:00:00Z,611272.6257910732,7188567.612613223,1517518.9187724898,4602541.087431555,906246.2929814166,-2586026.525181668,3.7770375645038926e-4
2018-01-06T09:00:00Z,684235.9889971141,7350430.215730935,1598729.5179453436,4812107.350837457,914493.5289482295,-2538322.8648934783,3.8114102513675275e-4
2018-01-06T10:00:00Z,671804.834955236,7331105.984219316,1588834.7522776192,4791518.4839761965,917029.9173223833,-2539587.50024312,3.8219813667933716e-4
2018-01-06T11:00:00Z,631432.7882338138,7236434.907236237,1545436.5997012672,4682668.229384212,914003.8114674534,-2553766.6778520253,3.809369215354238e-4
2018-01-06T12:00:00Z,568277.1466301365,7256622.711001189,1489429.9250310077,4696726.954968074,921152.7784008712,-2559895.756033115,3.839164555610012e-4
2018-01-06T13:00:00Z,485570.9033428881,7258970.305441663,1412516.5273690098,4707944.225414495,926945.6240261217,-2551026.0800271677,3.863307877024284e-4
2018-01-06T14:00:00Z,388382.5459925236,7202945.473212524,1319269.878520527,4661925.858284746,930887.3325280033,-2541019.614927778,3.879736061277542e-4
2018-01-06T15:00:00Z,350309.47180321265,7132303.503064817,1284606.660978656,4594620.830702303,934297.1891754434,-2537682.672362514,3.8939476026065385e-4
2018-01-06T16:00:00Z,325241.7901855287,7034256.515918461,1223704.8299137515,4615044.584382497,898463.0397282228,-2419211.931535964,3.7445986567378304e-4
2018-01-06T17:00:00Z,312306.7897711069,7086552.6592172515,1093516.4274240257,4994526.95168028,781209.6376529188,-2092025.7075369712,3.2559119634689146e-4
2018-01-06T18:00:00Z,311540.8019959217,7272076.65405638,1100974.4638648934,5184669.383281274,789433.6618689718,-2087407.2707751058,3.290187908800763e-4
2018-01-06T19:00:00Z,319027.09622032597,7494656.616360991,1078015.7716453571,5476543.273456836,758988.6754250312,-2018113.3429041551,3.163299822923723e-4
2018-01-06T20:00:00Z,331408.29453773575,7664556.748713629,972091.217752318,5994956.145166965,640682.9232145823,-1669600.6035466641,2.670227163033772e-4
2018-01-06T21:00:00Z,361932.2513945986,7831875.1852683155,1004897.7475347735,6150683.754718706,642965.4961401749,-1681191.4305496095,2.679740430840165e-4
2018-01-06T22:00:00Z,428310.54182978,7879858.9390316,1063328.2840483123,6206293.326927764,635017.7422185324,-1673565.6121038357,2.646615920044408e-4
2018-01-06T23:00:00Z,503075.5910379931,7706237.364095097,1229572.1045224236,5742806.430759011,726496.5134844305,-1963430.9333360866,3.02787955455733e-4
2018-01-07T00:00:00Z,541568.4951541515,7361917.819267351,1446902.4654099161,4811512.854654857,905333.9702557647,-2550404.964612494,3.7732352016888116e-4
2018-01-07T01:00:00Z,533882.3780318731,7211371.495350857,1426628.5149281058,4583899.343452935,892746.1368962326,-2627472.151897922,3.7207718483786947e-4
2018-01-07T02:00:00Z,525567.5252258792,6913007.688515204,1395324.4414042896,4298460.8005117215,869756.9161784104,-2614546.8880034825,3.624957773438621e-4
2018-01-07T03:00:00Z,535329.8325332677,6737047.835869463,1390481.006845587,4141095.072996135,855151.1743123193,-2595952.7628733283,3.5640842160923234e-4
2018-01-07T04:00:00Z,525923.5228381277,6601059.274195574,1376682.1256201519,3990219.040313681,850758.6027820242,-2610840.233881893,3.5457769327376925e-4
2018-01-07T05:00:00Z,494564.4475570663,6244904.3011992015,1321808.789911068,3687965.793962988,827244.3423540017,-2556938.5072362134,3.4477746064098434e-4
2018-01-07T06:00:00Z,508091.85221922764,6146697.4507758925,1330448.8595293867,3613238.88082923,822357.007310159,-2533458.5699466625,3.427405256274153e-4
2018-01-07T07:00:00Z,571472.5468846542,6485133.775607525,1422934.8189370974,3911195.0437028464,851462.2720524432,-2573938.731904679,3.5487096733049573e-4
2018-01-07T08:00:00Z,650767.9243179078,6944022.495207705,1538538.4205967428,4336599.28341416,887770.496278835,-2607423.2117935447,3.700034459806814e-4
2018-01-07T09:00:00Z,695379.3954749149,7065538.55012388,1589858.5923275854,4488599.608939459,894479.1968526705,-2576938.941184421,3.727994865573577e-4
2018-01-07T10:00:00Z,683670.833326359,7023053.886049664,1575997.3925973845,4520673.639240876,892326.5592710255,-2502380.246808788,3.719023140037589e-4
2018-01-07T11:00:00Z,649984.5277296496,7223746.850276375,1532220.282959662,4807422.5878223935,882235.7552300123,-2416324.2624539817,3.676966862164642e-4
2018-01-07T12:00:00Z,582822.8407062123,7374447.639681113,1380976.8041146183,5225380.0234235125,798153.963408406,-2149067.6162576005,3.326532230144012e-4
2018-01-07T13:00:00Z,493408.14914676547,7417916.993514485,1170967.9844814388,5646433.349655148,677559.8353346733,-1771483.643859337,2.8239221170647165e-4
2018-01-07T14:00:00Z,403248.4108481492,7584826.455145547,934564.3766108562,6262427.371950648,531315.9657627069,-1322399.0831948994,2.214409456732045e-4
2018-01-07T15:00:00Z,357664.0645721997,7695265.43423746,904708.5144933511,6367175.750767295,547044.4499211514,-1328089.6834701644,2.2799623599099533e-4
2018-01-07T16:00:00Z,333184.24577275815,7629544.398847006,884432.2932967944,6321945.460791056,551248.0475240363,-1307598.9380559502,2.2974820410111263e-4
2018-01-07T17:00:00Z,324490.4359053909,7781085.0250231465,876402.2890409266,6485264.949267706,551911.8531355357,-1295820.0757554406,2.3002486385129088e-4
2018-01-07T18:00:00Z,321412.6082145196,7910338.920986675,871099.9178013719,6645843.618092555,549687.3095868523,-1264495.30289412,2.2909772245360195e-4
2018-01-07T19:00:00Z,331142.36861051404,8184288.899141412,870930.3711001447,6941777.162983708,539788.0024896306,-1242511.7361577041,2.2497190643003967e-4
2018-01-07T20:00:00Z,341670.15908981115,8474692.372515086,864010.9986579675,7307604.381832536,522340.8395681564,-1167087.9906825498,2.177003081615788e-4
2018-01-07T21:00:00Z,381875.4344280313,8746430.662197482,884176.9640384,7656653.868427518,502301.52961036866,-1089776.793769964,2.0934835935213376e-4
2018-01-07T22:00:00Z,443397.6752225717,8918369.975610292,937702.7566950223,7857151.698894785,494305.08147245063,-1061218.2767155068,2.0601561358164785e-4
2018-01-07T23:00:00Z,525036.4302763517,8746086.460738521,1038547.9739971436,7586486.829745099,513511.5437207918,-1159599.6309934221,2.1402044956884432e-4
2018-01-08T00:00:00Z,557949.6836519908,8169472.412751676,1073235.6647979722,6879618.002669392,515285.98114598135,-1289854.4100822834,2.1475999651791413e-4
